,,MDS,,,,,,,,,,EMDS,,,,,,,,,,AS,,,,,,,,,,SL,,,,,,,,,,,,,,
,,Local,,,,,Global,,,,,Local,,,,,Global,,,,,Local,,,,,Global,,,,,Local,,,,,Global,,,,,Naïve RAG / Basic Search,,,,
,Q,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5,B1,B2,B3,B4,B5
Identify which MRIWA reports reference MERIWA or MRIWA.,1,,X,,,,,X,,,,,X,,,,,X,X,X,,,X,,,X,,X,,X,,,X,,,,,X,,X,,,X,,,
Extract all references to MERIWA and MRIWA from the MRIWA reports.,2,,,X,X,,,,X,X,,,,X,X,X,,,X,,,,,X,,,,,X,X,,,,X,,X,,,X,X,,,,X,X,X
Identify any references to nickel or Ni in the MRIWA reports.,3,,,X,X,,,,,X,,,,X,,,,,,X,,,,X,,,,,,X,,,,X,X,,,,,X,,,,,X,
Which elements are considered in the MRIWA reports?,4,,X,X,,,,X,X,X,,,X,,,,,X,,,,,X,,,,,X,,X,,,X,X,,,,X,X,,,,X,,,
Which MRIWA reports has Commonwealth Scientific Industrial Research Organisation been involved with in any capacity (including being listed in references)?,5,,X,X,,X,,X,X,,,,X,,,,,X,,,,,X,,,,,X,X,,X,,X,,,,,X,X,,,,X,,,X
Which MRIWA reports has Commonwealth Scientific Industrial Research Organisation been involved with as a researcher?,6,,X,,,,,X,X,,,,X,X,,,,X,,X,,,X,,,,,X,X,,X,,X,,X,,,X,X,X,X,,X,X,X,
Which MRIWA reports has Commonwealth Scientific Industrial Research Organisation been involved with as a sponsor?,7,,X,X,X,,,X,X,,X,,X,X,,,,X,X,X,X,,X,X,,,,X,X,X,X,,,X,,X,,X,X,,X,,X,X,,
Which MRIWA report is related to the East Kimberley region?,8,X,,X,,,,,,X,X,X,,,,X,,,,X,,X,,,,,,,,,X,X,,,,,,,X,X,,X,,,,
Which regions of Western Australia are referenced in the MRIWA reports?,9,,X,X,,,,X,X,,,,X,X,,,,X,X,,,,X,,,,,X,,,,,X,X,,,,X,X,,,,X,,,
Which MRIWA report author has been involved in more than one report/project?,10,,,X,,,,,X,X,,,,X,,,,,X,X,,,,X,,,,,X,X,,,,X,X,X,,,X,X,,,,X,,X
What is the average number of references in each MRIWA report?,11,,,,,X,,,,X,,,,,,X,,,,X,,,,,,X,,,,X,,,,,,X,,,,X,,,,,X,X
Which MRIWA reports relate to leaching?,12,,X,X,,,,X,X,,,,X,,,,,X,,X,,,X,X,,X,,X,,X,,,X,X,,X,,X,X,X,,,X,X,,
Which MRIWA reports relate to exploration?,13,,X,X,,,,X,X,X,,,X,X,,,,,X,X,,,X,X,,,,,X,X,,,X,X,,,,,X,X,,,X,X,,
Which MRIWA reports relate to mining extraction?,14,X,,,X,,,,,X,,,,,X,,X,,,X,,X,,,X,,X,,,X,,,,,X,,,,X,X,,,,,X,
Which MRIWA reports relate to mineral processing?,15,,X,X,,,,X,,X,,,X,X,X,,,X,X,,,,X,X,,,,X,X,,,,X,X,,,,X,X,X,,,X,X,,
,TOTAL,2,9,11,4,2,0,9,9,9,2,1,9,8,3,3,1,8,7,10,1,2,9,7,1,3,1,8,7,10,4,1,8,9,4,5,0,8,12,11,2,1,9,7,5,4
